Date,observations (m),Observations minus predictions (m)
2023-08-13 11:32 PDT,0.928,
2023-08-13 11:31 PDT,0.929,
2023-08-13 11:30 PDT,0.923,
2023-08-13 11:29 PDT,0.919,
2023-08-13 11:28 PDT,0.918,
2023-08-13 11:27 PDT,0.922,
2023-08-13 11:26 PDT,0.913,
2023-08-13 11:25 PDT,0.907,
2023-08-13 11:24 PDT,0.904,
2023-08-13 11:23 PDT,0.911,
2023-08-13 11:22 PDT,0.906,
2023-08-13 11:21 PDT,0.9,
2023-08-13 11:20 PDT,0.898,
2023-08-13 11:19 PDT,0.891,
2023-08-13 11:18 PDT,0.885,
2023-08-13 11:17 PDT,0.888,
2023-08-13 11:16 PDT,0.886,
2023-08-13 11:15 PDT,0.877,
2023-08-13 11:14 PDT,0.872,
2023-08-13 11:13 PDT,0.867,
2023-08-13 11:12 PDT,0.874,
2023-08-13 11:11 PDT,0.868,
2023-08-13 11:10 PDT,0.866,
2023-08-13 11:09 PDT,0.863,
2023-08-13 11:08 PDT,0.861,
2023-08-13 11:07 PDT,0.859,
2023-08-13 11:06 PDT,0.863,
2023-08-13 11:05 PDT,0.863,
2023-08-13 11:04 PDT,0.858,
2023-08-13 11:03 PDT,0.859,
2023-08-13 11:02 PDT,0.859,
2023-08-13 11:01 PDT,0.854,
2023-08-13 11:00 PDT,0.858,
2023-08-13 10:59 PDT,0.858,
2023-08-13 10:58 PDT,0.858,
2023-08-13 10:57 PDT,0.856,
2023-08-13 10:56 PDT,0.86,
2023-08-13 10:55 PDT,0.854,
2023-08-13 10:54 PDT,0.858,
2023-08-13 10:53 PDT,0.855,
2023-08-13 10:52 PDT,0.862,
2023-08-13 10:51 PDT,0.858,
2023-08-13 10:50 PDT,0.852,
2023-08-13 10:49 PDT,0.85,
2023-08-13 10:48 PDT,0.852,
2023-08-13 10:47 PDT,0.855,
2023-08-13 10:46 PDT,0.865,
2023-08-13 10:45 PDT,0.866,
2023-08-13 10:44 PDT,0.871,
2023-08-13 10:43 PDT,0.873,
2023-08-13 10:42 PDT,0.874,
2023-08-13 10:41 PDT,0.871,
2023-08-13 10:40 PDT,0.871,
2023-08-13 10:39 PDT,0.874,
2023-08-13 10:38 PDT,0.875,
2023-08-13 10:37 PDT,0.875,
2023-08-13 10:36 PDT,0.869,
2023-08-13 10:35 PDT,0.886,
2023-08-13 10:34 PDT,0.884,
2023-08-13 10:33 PDT,0.884,
2023-08-13 10:32 PDT,0.885,
2023-08-13 10:31 PDT,0.886,
2023-08-13 10:30 PDT,0.892,
2023-08-13 10:29 PDT,0.902,
2023-08-13 10:28 PDT,0.9,
2023-08-13 10:27 PDT,0.9,
2023-08-13 10:26 PDT,0.904,
2023-08-13 10:25 PDT,0.9,
2023-08-13 10:24 PDT,0.908,
2023-08-13 10:23 PDT,0.91,
2023-08-13 10:22 PDT,0.907,
2023-08-13 10:21 PDT,0.909,
2023-08-13 10:20 PDT,0.917,
2023-08-13 10:19 PDT,0.917,
2023-08-13 10:18 PDT,0.92,
2023-08-13 10:17 PDT,0.923,
2023-08-13 10:16 PDT,0.924,
2023-08-13 10:15 PDT,0.928,
2023-08-13 10:14 PDT,0.933,
2023-08-13 10:13 PDT,0.938,
2023-08-13 10:12 PDT,0.941,
2023-08-13 10:11 PDT,0.954,
2023-08-13 10:10 PDT,0.946,
2023-08-13 10:09 PDT,0.945,
2023-08-13 10:08 PDT,0.957,
2023-08-13 10:07 PDT,0.964,
2023-08-13 10:06 PDT,0.968,
2023-08-13 10:05 PDT,0.967,
2023-08-13 10:04 PDT,0.963,
2023-08-13 10:03 PDT,0.979,
2023-08-13 10:02 PDT,0.971,
2023-08-13 10:01 PDT,0.98,
2023-08-13 10:00 PDT,0.977,
2023-08-13 09:59 PDT,0.983,
2023-08-13 09:58 PDT,0.994,
2023-08-13 09:57 PDT,0.999,
2023-08-13 09:56 PDT,1.012,
2023-08-13 09:55 PDT,1.02,
2023-08-13 09:54 PDT,1.014,
2023-08-13 09:53 PDT,1.025,
2023-08-13 09:52 PDT,1.025,
2023-08-13 09:51 PDT,1.029,
2023-08-13 09:50 PDT,1.036,
2023-08-13 09:49 PDT,1.047,
2023-08-13 09:48 PDT,1.058,
2023-08-13 09:47 PDT,1.076,
2023-08-13 09:46 PDT,1.069,
2023-08-13 09:45 PDT,1.071,
2023-08-13 09:44 PDT,1.075,
2023-08-13 09:43 PDT,1.08,
2023-08-13 09:42 PDT,1.093,
2023-08-13 09:41 PDT,1.097,
2023-08-13 09:40 PDT,1.101,
2023-08-13 09:39 PDT,1.113,
2023-08-13 09:38 PDT,1.115,
2023-08-13 09:37 PDT,1.118,
2023-08-13 09:36 PDT,1.119,
2023-08-13 09:35 PDT,1.125,
2023-08-13 09:34 PDT,1.136,
2023-08-13 09:33 PDT,1.142,
2023-08-13 09:32 PDT,1.147,
2023-08-13 09:31 PDT,1.148,
2023-08-13 09:30 PDT,1.154,
2023-08-13 09:29 PDT,1.168,
2023-08-13 09:28 PDT,1.164,
2023-08-13 09:27 PDT,1.174,
2023-08-13 09:26 PDT,1.178,
2023-08-13 09:25 PDT,1.189,
2023-08-13 09:24 PDT,1.187,
2023-08-13 09:23 PDT,1.195,
2023-08-13 09:22 PDT,1.209,
2023-08-13 09:21 PDT,1.224,
2023-08-13 09:20 PDT,1.236,
2023-08-13 09:19 PDT,1.235,
2023-08-13 09:18 PDT,1.238,
2023-08-13 09:17 PDT,1.247,
2023-08-13 09:16 PDT,1.263,
2023-08-13 09:15 PDT,1.266,
2023-08-13 09:14 PDT,1.269,
2023-08-13 09:13 PDT,1.286,
2023-08-13 09:12 PDT,1.29,
2023-08-13 09:11 PDT,1.302,
2023-08-13 09:10 PDT,1.31,
2023-08-13 09:09 PDT,1.316,
2023-08-13 09:08 PDT,1.327,
2023-08-13 09:07 PDT,1.332,
2023-08-13 09:06 PDT,1.336,
2023-08-13 09:05 PDT,1.349,
2023-08-13 09:04 PDT,1.355,
2023-08-13 09:03 PDT,1.367,
2023-08-13 09:02 PDT,1.381,
2023-08-13 09:01 PDT,1.384,
2023-08-13 09:00 PDT,1.391,
2023-08-13 08:59 PDT,1.397,
2023-08-13 08:58 PDT,1.407,
2023-08-13 08:57 PDT,1.415,
2023-08-13 08:56 PDT,1.417,
2023-08-13 08:55 PDT,1.426,
2023-08-13 08:54 PDT,1.434,
2023-08-13 08:53 PDT,1.45,
2023-08-13 08:52 PDT,1.455,
2023-08-13 08:51 PDT,1.463,
2023-08-13 08:50 PDT,1.474,
2023-08-13 08:49 PDT,1.479,
2023-08-13 08:48 PDT,1.489,
2023-08-13 08:47 PDT,1.497,
2023-08-13 08:46 PDT,1.498,
2023-08-13 08:45 PDT,1.51,
